,Product Name,Product Price,Product Discription,Product link
0,Fujifilm X-T4 Mirrorless Camera in Black with XF16-80mm Lens,"£1,799.00","               ###  source code in bs4-python section !!!!
26.1MP APS-C CMOS 4 sensor                                                                                      ###
6.5 stop In-body Image Stabilisation
15fps continuous shooting in burst mode
18 Film Simulation modes
4K 60p video recording
",/p/Fujifilm/X-T4-Mirrorless-Camera-in-Black-with-XF16-80mm-Lens-187466
1,"Canon EOS 2000D Digital SLR with EF-S 18-55mm IS II Lens, Canon Bag, 16GB Card and Lens Cloth",£469.00,"
Easy-to-use, entry-level Digital SLR
3-inch LCD screen
Share images, control camera remotely with Wi-Fi
Includes SB130 Bag
16GB SD Card and lens cloth
","/p/Canon/EOS-2000D-Digital-SLR-with-EF-S-18-55mm-IS-II-Lens,-Canon-Bag,-16GB-Card-and-Lens-Cloth-190232"
2,Fujifilm X-T4 Mirrorless Camera Body,"£1,399.00","
26.1MP APS-C CMOS 4 sensor
6.5 stop In-body Image Stabilisation
15fps continuous shooting in burst mode
18 Film Simulation modes
4K 60p video recording
",/p/Fujifilm/X-T4-Mirrorless-Camera-Body-187344
3,Fujifilm X-T4 Mirrorless Camera Body in Silver,"£1,399.00","
26.1MP APS-C CMOS 4 sensor
6.5 stop In-body Image Stabilisation
15fps continuous shooting in burst mode
18 Film Simulation modes
4K 60p video recording
",/p/Fujifilm/X-T4-Mirrorless-Camera-Body-in-Silver-187462
4,Sony Cyber-Shot RX100 VII Digital Camera,"£1,049.00","
Sony a9-class speed and AF performance
20fps blackout-free shooting
Pocket-sized body with high image quality
BIONZ X processor
1.0-inch type 20.1MP sensor
",/p/Sony/Cyber-Shot-RX100-VII-Digital-Camera-175943
5,Sony a7 III Mirrorless Camera Body,"£1,699.00","
For photographers and videographers alike
24.2MP full-frame Exmor R Sensor
Full-frame 4K movie recording
ISO 50-204800
5-axis image stabilisation
",/p/Sony/a7-III-Mirrorless-Camera-Body-143628
6,Fujifilm X-T4 Mirrorless Camera in Black with XF18-55mm Lens,"£1,749.00","
26.1MP APS-C CMOS 4 sensor
6.5 stop In-body Image Stabilisation
15fps continuous shooting in burst mode
18 Film Simulation modes
4K 60p video recording
",/p/Fujifilm/X-T4-Mirrorless-Camera-in-Black-with-XF18-55mm-Lens-187463
7,Sony a7 IV Mirrorless Camera Body,"£2,399.00","
New 33MP Exmor R back-illuminated sensor
Bionz XR processing power
New 3-inch vari-angle touchscreen
Shoot 4K 60p video
5-axis in-body image stabilisation
",/p/Sony/a7-IV-Mirrorless-Camera-Body-197599
8,Fujifilm X-T200 Mirrorless Camera in Dark Silver with XC15-45mm Lens,£599.00,"
24.2MP APS-C CMOS image sensor
4K 30p video recording
Large 3.5-inch vari-angle LCD touchscreen
Continuous shooting up to 8fps
Electronic Stabilisation and HDR Video modes
",/p/Fujifilm/X-T200-Mirrorless-Camera-in-Dark-Silver-with-XC15-45mm-Lens-185613
9,Fujifilm X-T30 Mirrorless Camera in Silver with XF18-55mm Lens,£999.00,"
Compact and lightweight body
26.1M Back-illuminated X-Trans CMOS 4 Sensor
30fps blackout-free continuous shooting
4K/30p, FHD/120p movie recording
3-inch high-res touchscreen tilting LCD
",/p/Fujifilm/X-T30-Mirrorless-Camera-in-Silver-with-XF18-55mm-Lens-168231
10,Sony a7R IV A Mirrorless Camera Body,"£3,199.00","
61MP Full-Frame Exmor R BSI CMOS Sensor
BIONZ X Image Processor
567-Point Phase-Detection AF System
Up to 10 fps Shooting
UHD 4K30p Video with HLG & S-Log3 Gammas
",/p/Sony/a7R-IV-A-Mirrorless-Camera-Body-175365
11,Sony Alpha a7 MKII Mirrorless Camera with 28-70mm Lens,"£1,199.00","
Full-frame
24.3-megapixels
5-axis image stabilization
BIONZ X image processing engine
Enhanced Fast Hybrid AF
",/p/Sony/Alpha-a7-MKII-Mirrorless-Camera-with-28-70mm-Lens-95133
12,Sony a7 III Mirrorless Camera + FE 28-70mm f/3.5-5.6 OSS Lens,"£1,899.00","
For photographers and videographers alike
24.2MP full-frame Exmor R Senso
Full-frame 4K movie recording
ISO 50-204800
5-axis image stabilisation
",/p/Sony/a7-III-Mirrorless-Camera--FE-28-70mm-f3.5-5.6-OSS-Lens-143629
13,Sony a7S III Mirrorless Camera Body,"£3,799.00","
For videographers and content creators
12.1-MP full frame back-illuminated Exmor R sensor
Supreme 4K video quality
Fast and precise video autofocus
In-body Image Stabilisation of up to 5.5 stops
",/p/Sony/a7S-III-Mirrorless-Camera-Body-190043
14,Sony a7R III A Mirrorless Camera Body,"£2,199.00","
42.4 megapixels
Full frame Exmor R CMOS sensor
Continuous shooting up to 10fps
399 phase-detection AF points
5-axis optical in-body image stabilization
",/p/Sony/a7R-III-A-Mirrorless-Camera-Body-134212
15,Nikon D5600 Digital SLR with 18-55mm f/3.5-5.6 AF-P VR Lens,£619.00,"
24.2 megapixels
Lightweight and tough construction
Vari-angle touchscreen
Low-pass filter removed
SnapBridge connectivity
",/p/Nikon/D5600-Digital-SLR-with-18-55mm-f3.5-5.6-AF-P-VR-Lens-109637
16,Sony Cyber-shot DSC-W800 Digital Camera in Silver,£79.00,"
20 megapixels
5x optical zoom
Wide-angle Lens
Ultra-compact
HD movies
",/p/Sony/Cyber-shot-DSC-W800-Digital-Camera-in-Silver-96388
17,Sony a7 IV Mirrorless Camera with FE 28-70mm f/3.5-5.6 OSS Lens,"£2,599.00","
New 33MP Exmor R back-illuminated sensor
Bionz XR processing power
New 3-inch vari-angle touchscreen
Shoot 4K 60p video
5-axis in-body image stabilisation
",/p/Sony/a7-IV-Mirrorless-Camera-with-FE-28-70mm-f3.5-5.6-OSS-Lens-197600
18,Sony a1 Mirrorless Camera Body,"£6,499.00","
50 MP Exmor RX Sensor
8K video recording
30fps shooting
9.44-million dot OLED EVF
5-axis in-body image stabilisation
",/p/Sony/a1-Mirrorless-Camera-Body-193624
19,Canon EOS R6 Mirrorless Camera Body,"£2,399.00","
20.1 megapixel full frame CMOS sensor
Up to 8-stop image stabilisation
ISO 102400
4K video recording
Up to 20 fps
",/p/Canon/EOS-R6-Mirrorless-Camera-Body-189725
20,Nikon D3500 Digital SLR Camera with 18-55mm AF-P VR Lens,£469.00,"
24.2 MP DX-format sensor
ISO light-sensitivity range of 100-25600
Full HD movies
Creative Effects
",/p/Nikon/D3500-Digital-SLR-Camera-with-18-55mm-AF-P-VR-Lens-158737
21,DJI Mavic Air 2 Drone,£749.00,"
The perfect Drone for both power and portability
1/2-Inch Image Sensor. 48MP Photo, 4K/60fps Video
HDR Photo, Video, and Panorama
APAS 3.0 Obstacle Avoidance
10km transmission distance
",/p/DJI/Mavic-Air-2-Drone-188813
22,DJI Mavic Air 2 Fly More Combo Drone,£939.00,"
The perfect Drone for both power and portability
1/2-Inch sensor. 48MP Photo, 4K/60fps Video
HDR Photo, video, and panorama
Includes shoulder bag, ND filter set
Charging Hub and battery to power bank adapter
",/p/DJI/Mavic-Air-2-Fly-More-Combo-Drone-188814
23,DJI Mini 2 Drone,£419.00,"
Beginner friendly, powerful and lightweight drone
Super-portable - only weighs 249g
3-axis Gimbal with 4K camera
Up to 31 minutes flight time
Intelligent filight modes and Quickshot
",/p/DJI/Mini-2-Drone-191936
24,DJI Air 2S Fly More Combo,"£1,169.00","
20 MP 1-inch CMOS sensor
5.4K/30fps and 4K/60fps video
Includes 2 extra batteries and charging hub
Shoulder bag
ND filter set and accessories
",/p/DJI/Air-2S-Fly-More-Combo-194906
25,DJI Mini 2 Combo Drone,£529.00,"
Beginner friendly, powerful and lightweight drone
Super-portable - only weighs 249g
3-axis Gimbal with 4K camera
Up to 31 minutes flight time
Intelligent filight modes and Quickshot
",/p/DJI/Mini-2-Combo-Drone-191340
26,DJI Air 2S Drone,£899.00,"
Compact and lightweight aerial powerhouse
20 MP 1-inch CMOS sensor
5.4K/30fps and 4K/60fps video
O3 Video Transmission
Shoot in RAW
",/p/DJI/Air-2S-Drone-194905
27,DJI FPV Combo,"£1,149.00","
Immersive FPV flight experience
4K/60fps super-wide FOV
12MP camera with 1/2.3-inch CMOS sensor
RockSteady stabilisation
HD Low-Latency Transmission
",/p/DJI/FPV-Combo-193017
28,DJI Air 2S Fly More Combo with Smart Controller,"£1,559.00","
20 MP 1-inch CMOS sensor
5.4K/30fps and 4K/60fps video
Includes 2 extra batteries and charging hub
Shoulder bag
ND filter set and accessories
",/p/DJI/Air-2S-Fly-More-Combo-with-Smart-Controller-196366
29,DJI Mavic 2 Pro Drone with Smart Controller,"£1,579.00","
Delivers stunning photo and video
Hasselblad Camera, 1-inch CMOS Sensor
31 Minute flight time
3-axis gimbal
DJI Smart Controller
",/p/DJI/Mavic-2-Pro-Drone-with-Smart-Controller-166673
30,Arcade Orbit Drone,£39.97,"
Lightweight compact frame
Indoors and outdoors fun.
80-100 Metres flight distance
LED Light Display
Camera not included
",/p/Arcade/Orbit-Drone-97463
31,Sony FE 24-70mm f/4.0 ZA OSS Vario-Tessar T Lens,£749.00,"
Full-frame Lens for E-mount cameras
Carl Zeiss image quality
Constant f/4 aperture
",/p/Sony/FE-24-70mm-f4.0-ZA-OSS-Vario-Tessar-T-Lens-90220
32,Sony FE 50mm f/1.8 Lens,£159.00,"
Capturing stunning portraits at a great price
F1.8 max aperture for low-light shots
7-blade circular aperture
75mm (35mm equivalent) focal length
49mm filter diameter
",/p/Sony/FE-50mm-f1.8-Lens-98112
33,Sony FE 24-70mm f/2.8 GM Lens,"£1,799.00","
G Master series lens with incredible sharpness
Fast standard zoom
Fast, Accurate Focus
Extreme Aspherical element
Nano AR Coating
",/p/Sony/FE-24-70mm-f2.8-GM-Lens-97869
34,Sony FE 85mm F1.8 Lens,£499.00,"
Prime Portrait Lens
Super Sonic wave Motor
Fast, precise AF
Dust and moisture resistant
ED (Extra-low Dispersion) glass
",/p/Sony/FE-85mm-F1.8-Lens-119149
35,Sony FE 24-105mm F4 G OSS Lens,£999.00,"
E-mount Full Frame format
Constant F4 maximum aperture
Fast, Precise and Quiet Autofocus
Compact and lightweight
Smooth, versatile operation
",/p/Sony/FE-24-105mm-F4-G-OSS-Lens-134213
36,Canon EF 50mm f/1.8 STM Lens,£129.00,"
Perfect for portraits
Fast, virtually silent focusing
Great performer in low-light
Super-sharp image quality
Compact design
",/p/Canon/EF-50mm-f1.8-STM-Lens-96690
37,Sony FE 70-200mm f/2.8 G Master OSS Lens,"£2,129.00","
Pro lens for wedding and sports photography
Constant f/2.8 aperture
Fast AF for stills and video
11 blades for bokeh
Dust and moisture resistant design
",/p/Sony/FE-70-200mm-f2.8-G-Master-OSS-Lens-99988
38,Sony FE 70-200mm f/4 G OSS Lens,"£1,095.00","
High performance G Lens
Built-in Optical SteadyShot
Sony Nano AR Coating
Circular 9-blade aperture
Dust and moisture resistant
",/p/Sony/FE-70-200mm-f4-G-OSS-Lens-93787
39,Sony FE 200-600mm F5.6-6.3 G OSS Lens,"£1,599.00","
Sony E-mount Full Frame format
G lens super-telephoto zoom
High resolution throughout the zoom range
Direct Drive SSM for quiet, precise focus
Sony Nano AR Coating
",/p/Sony/FE-200-600mm-F5.6-6.3-G-OSS-Lens-172969
40,Sony FE 85mm f/1.4 GM Lens,"£1,499.00","
G Master series lens
Ideal for portraits
Superior resolution
Precision AF
",/p/Sony/FE-85mm-f1.4-GM-Lens-97870
41,Sony FE 24mm f/1.4 GM Lens,"£1,299.00","
G Master Series
Compact and lightweight
Direct Drive SSM
Circular 11-blade aperture
Dust and moisture-resistant
",/p/Sony/FE-24mm-f1.4-GM-Lens-159701
42,Sony FE 90mm f/2.8 Macro G OSS Lens,£799.00,"
Medium telephoto macro lens
Precise, quiet focus for stills and movies
Fast auto/manual focus switching
Inner focus for better handling
",/p/Sony/FE-90mm-f2.8-Macro-G-OSS-Lens-96792
43,Sony FE 16-35mm f/2.8 GM Lens,"£1,999.00","
Full Frame E-mount Lens
G Master wide angle zoom
Light and compact
Smooth bokeh.
High corner-to-corner resolution
",/p/Sony/FE-16-35mm-f2.8-GM-Lens-124502
